series_id,group_id,surface
0,0,13,fine_concrete
1,1,31,concrete
2,2,20,concrete
3,3,31,concrete
4,4,22,soft_tiles
5,5,1,tiled
6,6,34,soft_pvc
7,7,31,concrete
8,8,33,hard_tiles_large_space
9,9,11,tiled
10,10,26,soft_pvc
11,11,1,tiled
12,12,25,carpet
13,13,25,carpet
14,14,12,concrete
15,15,7,carpet
16,16,7,carpet
17,17,21,soft_tiles
18,18,8,tiled
19,19,9,soft_tiles
20,20,11,tiled
21,21,33,hard_tiles_large_space
22,22,22,soft_tiles
23,23,28,tiled
24,24,9,soft_tiles
25,25,15,soft_tiles
26,26,13,fine_concrete
27,27,27,hard_tiles
28,28,11,tiled
29,29,33,hard_tiles_large_space
30,30,9,soft_tiles
31,31,9,soft_tiles
32,32,35,fine_concrete
33,33,32,concrete
34,34,20,concrete
35,35,12,concrete
36,36,1,tiled
37,37,25,carpet
38,38,34,soft_pvc
39,39,23,wood
40,40,13,fine_concrete
41,41,14,wood
42,42,35,fine_concrete
43,43,23,wood
44,44,15,soft_tiles
45,45,27,hard_tiles
46,46,26,soft_pvc
47,47,30,fine_concrete
48,48,32,concrete
49,49,3,soft_pvc
50,50,32,concrete
51,51,9,soft_tiles
52,52,9,soft_tiles
53,53,20,concrete
54,54,25,carpet
55,55,22,soft_tiles
56,56,35,fine_concrete
57,57,35,fine_concrete
58,58,7,carpet
59,59,22,soft_tiles
60,60,32,concrete
61,61,28,tiled
62,62,29,soft_pvc
63,63,16,hard_tiles_large_space
64,64,3,soft_pvc
65,65,32,concrete
66,66,8,tiled
67,67,28,tiled
68,68,20,concrete
69,69,3,soft_pvc
70,70,0,concrete
71,71,12,concrete
72,72,3,soft_pvc
73,73,34,soft_pvc
74,74,23,wood
75,75,35,fine_concrete
76,76,9,soft_tiles
77,77,13,fine_concrete
78,78,29,soft_pvc
79,79,35,fine_concrete
80,80,9,soft_tiles
81,81,1,tiled
82,82,34,soft_pvc
83,83,10,wood
84,84,35,fine_concrete
85,85,15,soft_tiles
86,86,20,concrete
87,87,26,soft_pvc
88,88,9,soft_tiles
89,89,23,wood
90,90,29,soft_pvc
91,91,26,soft_pvc
92,92,30,fine_concrete
93,93,13,fine_concrete
94,94,0,concrete
95,95,22,soft_tiles
96,96,10,wood
97,97,14,wood
98,98,33,hard_tiles_large_space
99,99,11,tiled
100,100,13,fine_concrete
101,101,21,soft_tiles
102,102,10,wood
103,103,26,soft_pvc
104,104,13,fine_concrete
105,105,19,soft_pvc
106,106,4,soft_tiles
107,107,21,soft_tiles
108,108,29,soft_pvc
109,109,19,soft_pvc
110,110,23,wood
111,111,13,fine_concrete
112,112,18,soft_pvc
113,113,12,concrete
114,114,4,soft_tiles
115,115,6,soft_pvc
116,116,18,soft_pvc
117,117,15,soft_tiles
118,118,25,carpet
119,119,16,hard_tiles_large_space
120,120,1,tiled
121,121,17,soft_tiles
122,122,29,soft_pvc
123,123,19,soft_pvc
124,124,33,hard_tiles_large_space
125,125,32,concrete
126,126,8,tiled
127,127,8,tiled
128,128,7,carpet
129,129,4,soft_tiles
130,130,19,soft_pvc
131,131,6,soft_pvc
132,132,13,fine_concrete
133,133,26,soft_pvc
134,134,15,soft_tiles
135,135,4,soft_tiles
136,136,4,soft_tiles
137,137,9,soft_tiles
138,138,23,wood
139,139,0,concrete
140,140,4,soft_tiles
141,141,11,tiled
142,142,33,hard_tiles_large_space
143,143,29,soft_pvc
144,144,0,concrete
145,145,17,soft_tiles
146,146,11,tiled
147,147,14,wood
148,148,27,hard_tiles
149,149,7,carpet
150,150,9,soft_tiles
